country/area,wiki-name,status,production-start-year,operator,owner,parent,lat,lng,location-accuracy,"subnational-unit-(province,-state)",gem-region,unit-id,url,country-list,discovery-year,fid-year,production---oil-(million-bbl/y),production-year---oil,production---gas-(million-m³/y),production-year---gas,"production---total-(oil,-gas-and-hydrocarbons)-(million-boe/y)"
Brazil,Atlanta Oil and Gas Field (Brazil),operating,2016,Enauta Energia,Enauta Energia (100%),Enauta Energia SA (100%),-24.113,-41.893,exact,Rio de Janeiro,Americas,OG0000037,https://www.gem.wiki/Atlanta_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,2001,,5.8765,2023,8.810864778,2023,5.928334317488974
Brazil,Atum Oil and Gas Field (Brazil),shut in,1983,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-2.972,-38.971,exact,Ceará,Americas,OG0000038,https://www.gem.wiki/Atum_Oil_and_Gas_Field_%28Brazil%29,,1979,,,,,,0.0
Brazil,Azulão Oil and Gas Field (Brazil),operating,2021,Eneva ,Eneva (100%),Eneva (100%),-2.733,-58.178,exact,Amazonas,Americas,OG0000039,https://www.gem.wiki/Azul%C3%A3o_Gas_Field_%28Amazonas%2C_Brazil%29,,1999,,0.08212250989,2023,162.6562883,2023,1.0390294539589
Brazil,Bacalhau Oil and Gas Field (Brazil),shut in,2025 (expected),Equinor Brasil,Equinor Brasil (40%);ExxonMobil Brasil (40%);Petrogal Brasil (20%),"Equinor ASA (40%);ExxonMobil (40%);Galp Energia, SGPS, S.A. (20%)",-25.472,-44.003,exact,Rio Grande do Norte,Americas,OG0000040,https://www.gem.wiki/Bacalhau_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2012,2021,0.0,2023,0.0,2023,0.0
Brazil,Bacalhau Norte Oil and Gas Field (Brazil),discovered,2029 (expected),Equinor Brasil,Equinor Brasil (40%);ExxonMobil Brasil (40%);Petrogal Brasil (20%),"Equinor ASA (40%);ExxonMobil (40%);Galp Energia, SGPS, S.A. (20%)",-25.334,-43.992,exact,São Paulo,Americas,OG0000041,https://www.gem.wiki/Bacalhau_Norte_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2012,,,,,,0.0
Brazil,Badejo Oil and Gas Field (Brazil),operating,1981,Petrobras,Trident Energy (100%),Trident Energy (100%),-22.693,-40.868,exact,Rio de Janeiro,Americas,OG0000042,https://www.gem.wiki/Badejo_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1975,,,,,,0.0
Brazil,Bagre Oil and Gas Field (Brazil),operating,1984,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.413,-40.474,exact,Rio de Janeiro,Americas,OG0000043,https://www.gem.wiki/Bagre_Oil_and_Gas_Field_%28Brazil%29,,1975,,,,,,0.0
Brazil,Baixa do Algodão Oil and Gas Field (Brazil),operating,1986,Petrobras,PetroRecôncavo S.A. (100%),PetroRecôncavo S.A. (nan%),-5.371,-37.632,exact,Rio Grande do Norte,Americas,OG0000044,https://www.gem.wiki/Baixa_do_Algod%C3%A3o_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1986,,0.01232149561,2023,0.006772777778,2023,0.012361339861667974
Brazil,Baleia Anã Oil and Gas Field (Brazil),operating,2015,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-21.148,-39.98,exact,Espírito Santo,Americas,OG0000046,https://www.gem.wiki/Baleia_An%C3%A3_Oil_and_Gas_Field_%28Esp%C3%ADrito_Santo%2C_Brazil%29,,2003,,1.005314646,2023,6.297993889,2023,1.042365744048987
Brazil,Barracuda Oil and Gas Field (Brazil),operating,1997,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.564,-40.241,exact,Rio de Janeiro,Americas,OG0000049,https://www.gem.wiki/Barracuda_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1990,,8.967690915,2023,99.48438378,2023,9.55295754477774
Brazil,Baúna Oil and Gas Field (Brazil),operating,2012,Karoon,Karoon (100%),Karoon Energy Ltd (100%),-26.437,-46.527,exact,São Paulo,Americas,OG0000053,https://www.gem.wiki/Ba%C3%BAna_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2008,,8.67298265,2023,51.293888,2023,8.974744593103999
Brazil,Benfica Oil and Gas Field (Brazil),operating,1997,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-5.022,-37.051,exact,Rio Grande do Norte,Americas,OG0000056,https://www.gem.wiki/Benfica_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1997,,0.131654186,2023,1.2097998,2023,0.13877143822340002
Brazil,Berbigão Oil and Gas Field (Brazil),operating,2019,Petrobras,Petrobras (42.5%);Petrogal Brasil (10%);Shell Brasil (25%);TotalEnergies (22.5%),"Petróleo Brasileiro S.A. (42.5%);Galp Energia, SGPS, S.A. (10%);Shell plc (25%);TotalEnergies (22.5%)",-25.003,-42.7,exact,Rio de Janeiro,Americas,OG0000057,https://www.gem.wiki/Berbig%C3%A3o_Oil_and_Gas_Field_%28Brazil%29,,2008,,20.6710152,2023,229.4673686,2023,22.0209717294738
Brazil,Bicudo Oil and Gas Field (Brazil),operating,1982,Petrobras,Trident Energy (100%),Trident Energy (100%),-22.759,-40.707,exact,Rio de Janeiro,Americas,OG0000058,https://www.gem.wiki/Bicudo_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1976,,,,,,0.0
Brazil,Bijupirá Oil and Gas Field (Brazil),shut in,1993,Shell Brasil Petróleo Ltda.,Shell Brasil (80%);Petrobras (20%),Shell plc (80%);Petróleo Brasileiro S.A. (20%),-22.654,-40.391,exact,Rio de Janeiro,Americas,OG0000060,https://www.gem.wiki/Bijupir%C3%A1_Oil_and_Gas_Field_%28Brazil%29,,1990,,,,,,0.0
Brazil,Boa Esperança Oil and Gas Field (Brazil),operating,1997,Petrobras,PetroRecôncavo S.A. (100%),PetroRecôncavo S.A. (nan%),-5.485,-37.644,exact,Rio Grande do Norte,Americas,OG0000063,https://www.gem.wiki/Boa_Esperan%C3%A7a_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1997,,0.2379753158,2023,18.76926117,2023,0.34839487926311
Brazil,Boa Vista Oil and Gas Field (Brazil),operating,1994,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-5.02,-37.025,exact,Rio Grande do Norte,Americas,OG0000064,https://www.gem.wiki/Boa_Vista_Oil_and_Gas_Field_%28Brazil%29,,1994,,,,,,0.0
Brazil,Bonito Oil and Gas Field (Brazil),operating,1979,Trident Energy,Trident Energy (100%),Trident Energy (100%),-22.73,-40.635,exact,Rio de Janeiro,Americas,OG0000066,https://www.gem.wiki/Bonito_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1977,,1.224733126,2023,8.928857111,2023,1.2772615923840132
Brazil,Brejinho (Petrobras) Oil and Gas Field (Brazil),operating,1961,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-12.354,-38.527,exact,Bahia,Americas,OG0000068,https://www.gem.wiki/Brejinho_%28Petrobras%29_Oil_and_Gas_Field_%28Brazil%29,,1960,,0.000934911,2023,0.0,2023,0.000934911
Brazil,Buracica Oil and Gas Field (Brazil),operating,1959,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-12.209,-38.484,exact,Bahia,Americas,OG0000071,https://www.gem.wiki/Buracica_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29,,1959,,0.6055665652,2023,2.4778317,2023,0.6201436490911
Brazil,Buzios Oil and Gas Field (Brazil),operating,2018,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-24.657,-42.498,exact,Rio de Janeiro,Americas,OG0000072,https://www.gem.wiki/B%C3%BAzios_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,2010,,209.875,2023,1675.316469,2023,219.730886787127
Brazil,Cachalote Oil and Gas Field (Brazil),operating,2008,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-21.151,-40.07,exact,Espírito Santo,Americas,OG0000076,https://www.gem.wiki/Cachalote_Oil_and_Gas_Field_%28Esp%C3%ADrito_Santo%2C_Brazil%29,,2002,,,,,,0.0
Brazil,Camarupim Oil and Gas Field (Brazil),operating,2009,Petrobras,BW Energy (100%),BW Energy (100%),-19.935,-39.62,exact,Espírito Santo,Americas,OG0000080,https://www.gem.wiki/Camarupim_Oil_and_Gas_Field_%28Esp%C3%ADrito_Santo%2C_Brazil%29,,2003,,,,,,0.0
Brazil,Candeias Oil and Gas Field (Brazil),operating,1941,Petrobras,3R Candeias (100%),3R Petroleum (100%),-12.715,-38.542,exact,Bahia,Americas,OG0000092,https://www.gem.wiki/Candeias_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29,,1941,,0.117226331,2023,18.48322405,2023,0.22596313808615
Brazil,Canto do Amaro Oil and Gas Field (Brazil),operating,1986,3R Potiguar,3R Potiguar (100%),3R Petroleum (100%),-5.115,-37.181,exact,Rio Grande do Norte,Americas,OG0000095,,,1985,,2.433909525,2023,6.2568957,2023,2.4707188424031
Brazil,Carapeba Oil and Gas Field (Brazil),operating,1988,Perenco Brasil,Perenco Brasil (100%),Perenco (100%),-22.259,-40.437,exact,Rio de Janeiro,Americas,OG0000100,,,1975,,2.830253974,2023,6.092807111,2023,2.866097958234013
Brazil,Caratinga Oil and Gas Field (Brazil),operating,1997,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.671,-40.245,exact,Rio de Janeiro,Americas,OG0000102,https://www.gem.wiki/Caratinga_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1994,,5.307384943,2023,60.09090711,2023,5.66089974952813
Brazil,Carmópolis Oil and Gas Field (Brazil),operating,1963,Carmo Energy S.A.,Carmo Energy S.A. (100%),Vinci S.A. (100%),-10.691,-37.023,exact,Sergipe,Americas,OG0000109,https://www.gem.wiki/Carm%C3%B3polis_Oil_and_Gas_Field_%28Sergipe%2C_Brazil%29,,1963,,1.248754721,2023,4.388281444,2023,1.274570980735052
Brazil,Enchova Oil and Gas Field (Brazil),operating,1977,Trident Energy,Trident Energy (100%),Trident Energy (100%),-22.648,-40.663,exact,Rio de Janeiro,Americas,OG0000142,,,1976,,1.216144506,2023,14.22629272,2023,1.29983778607176
Brazil,Espadarte Oil and Gas Field (Brazil),operating,2000,Petrobras,Petrobras (50%);Petronas (50%),Petróleo Brasileiro S.A. (50%);Petroliam Nasional Berhad (Petronas) (50%),-22.831,-40.45,exact,Rio de Janeiro,Americas,OG0000145,,,1988,,4.637282733,2023,20.81635556,2023,4.75974535275948
Brazil,Estreito Oil and Gas Field (Brazil),operating,1982,3R Potiguar,3R Potiguar (100%),3R Petroleum (100%),-5.389,-36.869,exact,Rio Grande do Norte,Americas,OG0000146,https://www.gem.wiki/Estreito_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1982,,1.828219054,2023,0.7326718,2023,1.8325293621994
Brazil,Fazenda Alegre Oil and Gas Field (Brazil),operating,1996,Seacrest Petróleo SPE Norte Capixaba Ltda.,Seacrest Petróleo SPE Norte Capixaba Ltda. (100%),Seacrest Petróleo SPE Norte Capixaba Ltda. (100%),-19.002,-39.867,exact,Espírito Santo,Americas,OG0000147,,,1996,,1.224548866,2023,7.517832,2023,1.2687762716559998
Brazil,Frade Oil and Gas Field (Brazil),operating,2009,Petro Rio Jaguar,Petro Rio Jaguar (81.7%);Petro Rio Sardinha (18.3%),PetroRio SA (81.7%);PRIO (18.3%),-21.9,-39.858,exact,Rio de Janeiro,Americas,OG0000177,https://www.gem.wiki/Frade_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1986,,16.5851529,2023,133.5064109,2023,17.3705711153247
Brazil,Gavião Preto Oil and Gas Field (Brazil),operating,2022,Eneva,Eneva (100%),Eneva (100%),-4.65,-44.795,exact,Maranhão,Americas,OG0000189,https://www.gem.wiki/Gavi%C3%A3o_Preto_Oil_and_Gas_Field_%28Maranh%C3%A3o%2C_Brazil%29,,2014,,0.002902354857,2023,270.0264734,2023,1.5914680978692
Brazil,Golfinho Oil and Gas Field (Brazil),operating,2006,BW Energy ,BW Energy (100%),BW Energy (100%),-20.061,-39.548,exact,Espírito Santo,Americas,OG0000194,,,2002,,4.067053149,2023,40.623697,2023,4.306042358451
Brazil,Guamaré Oil and Gas Field (Brazil),operating,1983,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-5.182,-36.423,exact,Rio Grande do Norte,Americas,OG0000198,https://www.gem.wiki/Guamar%C3%A9_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1982,,0.3068670158,2023,0.0578525,2023,0.3072073620575
Brazil,Itapu Oil and Gas Field (Brazil),operating,2023,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-24.766,-42.708,exact,Rio de Janeiro,Americas,OG0000216,https://www.gem.wiki/Itapu_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,2012,,14.57108009,2023,165.6081772,2023,15.545352996467601
Brazil,Jubarte Oil and Gas Field (Brazil),operating,2002,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-21.321,-40.023,exact,Espírito Santo,Americas,OG0000230,https://www.gem.wiki/Jubarte_Oil_and_Gas_Field_%28Esp%C3%ADrito_Santo%2C_Brazil%29,,2001,,34.75568734,2023,695.504655,2023,38.847341225365
Brazil,Lapa Oil and Gas Field (Brazil),operating,2016,TotalEnergies E&P do Brasil,Total E&P do Brasil (45%);Shell Brasil (30%);Repsol Sinopec (25%),TotalEnergies (nan%);Shell plc (30%);Repsol Resources UK (nan%),-25.561,-43.483,exact,São Paulo,Americas,OG0000249,https://www.gem.wiki/Lapa_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2007,,16.52049055,2023,418.9778912,2023,18.9853374839296
Brazil,Leste do Urucu Oil and Gas Field (Brazil),operating,1992,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-4.857,-65.123,exact,Amazonas,Americas,OG0000252,https://www.gem.wiki/Leste_do_Urucu_Oil_and_Gas_Field_%28Amazonas%2C_Brazil%29,,1987,,2.303236554,2023,1594.956657,2023,11.686366567131
Brazil,Libra Oil and Gas Field (Brazil),operating,2017,Petrobras,Petrobras (40%);Shell (20%);TotalEnergies (20%);CNOOC Limited (10%);CNPC (10%),Petróleo Brasileiro S.A. (40%);Shell plc (20%);TotalEnergies (20%);CNOOC (BVI) Limited (6%);HKSCC Nominees Limited (3.3%);China State-owned Enterprises Mixed Ownership Reform Fund (0%);CNPC (0%);Others (0.6%);CNPC (10%),-24.645,-42.045,exact,Rio de Janeiro,Americas,OG0000253,https://www.gem.wiki/Libra_Oil_Block_%28Brazil%29,,2010,2014,,,,,0.0
Brazil,Manati Oil and Gas Field (Brazil),operating,2007,Petrobras,Petrobras (35%);Enauta Energia (45%);Brasoil Manati (10%);Geopark Brasil (10%),Petróleo Brasileiro S.A. (35%);Enauta Energia SA (45%);PetroRio S.A. (10%),-13.458,-38.791,exact,Bahia,Americas,OG0000261,https://www.gem.wiki/Manati_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29,,2000,,0.05578291756,2023,403.5513324,2023,2.4298754060692
Brazil,Marimbá Oil and Gas Field (Brazil),operating,1985,Trident Energy,Trident Energy (100%),Trident Energy (100%),-22.687,-40.53,exact,Rio de Janeiro,Americas,OG0000265,,,1984,,1.855777039,2023,28.51195472,2023,2.0235128686177597
Brazil,Marlim Oil and Gas Field (Brazil),operating,1991,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.424,-40.071,exact,Rio de Janeiro,Americas,OG0000269,https://www.gem.wiki/Marlim_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1985,,4.058828739,2023,75.64916336,2023,4.50387276704688
Brazil,Marlim Leste Oil and Gas Field (Brazil),operating,2000,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.427,-39.913,exact,Rio de Janeiro,Americas,OG0000270,https://www.gem.wiki/Marlim_Leste_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1987,,12.64997596,2023,149.8888519,2023,13.531772075727702
Brazil,Marlim Sul Oil and Gas Field (Brazil),operating,1994,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.628,-40.005,exact,Rio de Janeiro,Americas,OG0000271,https://www.gem.wiki/Marlim_Sul_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1987,,15.97712022,2023,168.6405303,2023,16.9692324597549
Brazil,Maromba Oil and Gas Field (Brazil),in development,,BW Energy,BW Energy (100%),BW Energy (100%),-23.487,-41.249,exact,Rio de Janeiro,Americas,OG0000272,https://www.gem.wiki/Maromba_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,2003,,,,,,0.0
Brazil,Mero Oil and Gas Field (Brazil),operating,2022,Petrobras,Petrobras (40%);Shell Brasil (20%);TotalEnergies (20%);CNODC Brasil (10%);CNOOC Petroleum (10%),Petróleo Brasileiro S.A. (40%);Shell plc (20%);TotalEnergies (20%);China National Oil and Gas Exploration and Development Co. (10%);CNOOC Limited (10%),-24.612,-42.22,exact,Rio de Janeiro,Americas,OG0000279,https://www.gem.wiki/Mero_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,2010,2017,71.18502047,2023,3149.061172,2023,89.710947344876
Brazil,Mexilhão Oil and Gas Field (Brazil),operating,2011,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-24.476,-44.18,exact,São Paulo,Americas,OG0000280,https://www.gem.wiki/Mexilh%C3%A3o_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2001,,0.9048392137,2023,963.7011942,2023,6.5742933391786
Brazil,Miranga Oil and Gas Field (Brazil),operating,1965,PetroRecôncavo S.A.,PetroRecôncavo S.A. (100%),PetroRecôncavo S.A. (nan%),-12.339,-38.196,exact,Bahia,Americas,OG0000281,,,1965,,0.6128130757,2023,131.9841744,2023,1.3892759736952
Brazil,Neon Oil and Gas Field (Brazil),discovered,,Karoon,Karoon (100%),Karoon Energy Ltd (100%),-26.031,-46.039,exact,São Paulo,Americas,OG0000293,https://www.gem.wiki/Neon_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2013,,,,,,0.0
Brazil,Nordeste de Sapinhoá Oil and Gas Field (Brazil),operating,,,Petrobras (45%);Shell Brasil (30%);Repsol Sinopec (25%),Petróleo Brasileiro S.A. (45%);Shell plc (30%);Repsol Resources UK (nan%),-25.71,-43.097,exact,São Paulo,Americas,OG0000295,https://www.gem.wiki/Nordeste_de_Sapinho%C3%A1_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2018,,0.1722372058,2023,5.474103722,2023,0.204441357996526
Brazil,Noroeste de Sapinhoá Oil and Gas Field (Brazil),operating,2013,Petrobras,Petrobras (45%);Shell Brasil (30%);Repsol Sinopec (25%),Petróleo Brasileiro S.A. (45%);Shell plc (30%);Repsol Resources UK (nan%),-25.686,-43.198,exact,São Paulo,Americas,OG0000296,https://www.gem.wiki/Noroeste_de_Sapinho%C3%A1_Oil_and_Gas_Field_%28S%C3%A3o_Paulo%2C_Brazil%29,,2008,,0.8277868053,2023,26.30910672,2023,0.98256328013376
Brazil,Oeste de Atapu Oil and Gas Field (Brazil),operating,2020,Petrobras,Petrobras (42.5%);Petrogal Brasil (10%);Shell Brasil (25%);Total E&P do Brasil (22.5%),"Petróleo Brasileiro S.A. (42.5%);Galp Energia, SGPS, S.A. (10%);Shell plc (25%);TotalEnergies (nan%)",-24.952,-42.518,exact,Rio de Janeiro,Americas,OG0000301,https://www.gem.wiki/Oeste_de_Atapu_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,2008,,8.492247145,2023,204.1638247,2023,9.6933429257101
Brazil,Ostra Oil and Gas Field (Brazil),operating,2009,Shell Brasil ,Shell Brasil (50%);ONGC Campos (27%);Qatarenergy (23%),Shell plc (50%);Oil and Natural Gas Corporation (ONGC) (27%),-21.214,-39.661,exact,Espírito Santo,Americas,OG0000304,https://www.gem.wiki/Ostra_Oil_and_Gas_Field_%28Esp%C3%ADrito_Santo%2C_Brazil%29,,2002,,1.848407791,2023,9.0437145,2023,1.9016119634035
