"","status","country","project_name","unit_name","capacity_(mw)","technology","start_year","operator","owner","lat","lng","location_accuracy","major_area_(prefecture,_district)","state/province","subregion","region","gem_location_id","gem_unit_id","other_ids_(location)","other_ids_(unit/phase)","url"
"21","operating","Philippines","Bac-Man geothermal power plant","Bacon-Manito 1.2","55.0","flash steam - single","1993.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","13.0547","123.9678","exact","","Sorsogon","South-eastern Asia","Asia","L100000700006","G100000700011","World Resources Institute: WRI1001889, WEPP (S&P Global Platts): 1106851","WEPP (S&P Global Platts): 1267220","https://gem.wiki/Bac-Man_geothermal_power_plant"
"22","operating","Philippines","Bac-Man geothermal power plant","Botong 2.2","20.0","unknown type","2021.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","13.0547","123.9663","exact","","Sorsogon","South-eastern Asia","Asia","L100000700006","G100000700408","World Resources Institute: WRI1001889, WEPP (S&P Global Platts): 1106851","","https://gem.wiki/Bac-Man_geothermal_power_plant"
"23","operating","Philippines","Bac-Man geothermal power plant","Cawayan 2.1","20.0","unknown type","","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","13.0348","123.9369","exact","","Sorsogon","South-eastern Asia","Asia","L100000700006","G100000700407","World Resources Institute: WRI1001889, WEPP (S&P Global Platts): 1106851","","https://gem.wiki/Bac-Man_geothermal_power_plant"
"24","operating","Italy","Bagnore geothermal power plant","4","40.0","dry steam","2014.0","Enel Green Power","Enel Green Power [100%]","42.8416","11.5588","exact","","Tuscany","Southern Europe","Europe","L100000700007","G100000700012","WEPP (S&P Global Platts): 1015934, World Resources Institute: WRI1021456","","https://gem.wiki/Bagnore_geothermal_power_plant"
"25","pre-construction","Indonesia","Banten geothermal power plant","--","110.0","unknown type","","PT Sintesa Green Energy","PT Sintesa Green Energy [100%]","-6.326","106.1161","approximate","Pandeglang Regency","Banten","South-eastern Asia","Asia","L100000700008","G100000700013","WEPP (S&P Global Platts): 1026042","WEPP (S&P Global Platts): 1104310, WEPP (S&P Global Platts): 1104311","https://gem.wiki/Banten_geothermal_power_plant"
"26","pre-construction","Kenya","Baringo-Silali geothermal power plant","Korosi","100.0","unknown type","","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","1.1689","36.1726","approximate","","Baringo Province","Sub-Saharan Africa","Africa","L100000700009","G100000700015","WEPP (S&P Global Platts): 1119153","WEPP (S&P Global Platts): 1285921","https://gem.wiki/Baringo-Silali_geothermal_power_plant"
"27","pre-construction","Kenya","Baringo-Silali geothermal power plant","Paka","100.0","unknown type","","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","1.1689","36.1726","approximate","","Baringo Province","Sub-Saharan Africa","Africa","L100000700009","G100000700014","WEPP (S&P Global Platts): 1119153","WEPP (S&P Global Platts): 1285921","https://gem.wiki/Baringo-Silali_geothermal_power_plant"
"28","pre-construction","Kenya","Baringo-Silali geothermal power plant","Silali","100.0","unknown type","","Geothermal Development Company (GDC)","Geothermal Development Company (GDC) [100%]","1.1689","36.1726","approximate","","Baringo Province","Sub-Saharan Africa","Africa","L100000700009","G100000700016","WEPP (S&P Global Platts): 1119153","WEPP (S&P Global Platts): 1285921","https://gem.wiki/Baringo-Silali_geothermal_power_plant"
"29","construction","Indonesia","Baturaden geothermal power plant","1","50.0","unknown type","","","PT Trinergy Mandiri International [11%]; PT Nirwana Suci Abadi [89%]","-7.3001","109.2168","approximate","","Central Java","South-eastern Asia","Asia","L100000700199","G100000700342","WEPP (S&P Global Platts): 1119692","WEPP (S&P Global Platts): 1286728","https://gem.wiki/Baturaden_geothermal_power_plant"
"30","pre-construction","Indonesia","Baturaden geothermal power plant","Future units","170.0","unknown type","2025.0","","PT Trinergy Mandiri International [11%]; PT Nirwana Suci Abadi [89%]","-7.3001","109.2168","approximate","","Central Java","South-eastern Asia","Asia","L100000700199","G100000700343","WEPP (S&P Global Platts): 1119692","WEPP (S&P Global Platts): 1286728","https://gem.wiki/Baturaden_geothermal_power_plant"
"31","pre-construction","Philippines","Baua-Sikaw geothermal power plant","--","61.0","unknown type","","","Pan Pacific Power Phillippines CORP [100%]","18.3822","122.1445","approximate","","Cagayan","South-eastern Asia","Asia","L100000700226","G100000700409","","","https://gem.wiki/Baua-Sikaw_geothermal_power_plant"
"32","operating","United States","Beowawe geothermal power plant","GEN1","17.0","unknown type","1985.0","","Ormat Technology INC [100%]","40.5547","-116.6175","exact","","Nevada","Northern America","Americas","L100000700255","G100000700466","EIA: 10287","","https://gem.wiki/Beowawe_geothermal_power_plant"
"33","operating","United States","Beowawe geothermal power plant","GEN2","4.0","binary cycle","2011.0","","Ormat Technology INC [100%]","40.5547","-116.6175","exact","","Nevada","Northern America","Americas","L100000700255","G100000700467","EIA: 10287","","https://gem.wiki/Beowawe_geothermal_power_plant"
"34","operating","El Salvador","Berlín geothermal power plant","--","40.0","flash steam - single","2007.0","LaGeo","LaGeo [100%]","13.5248","-88.5073","exact","","Departamento de Usulután","Latin America and the Caribbean","Americas","L100000700010","G100000700017","WEPP (S&P Global Platts): 1012983, World Resources Institute: GEODB0043616","WEPP (S&P Global Platts): 1188619","https://gem.wiki/Berlín_geothermal_power_plant"
"35","operating","United States","Big Geysers geothermal plant","13","138.0","dry steam","1980.0","Geysers Power Co LLC","Calpine CORP [100%]","38.777","-122.745","exact","","California","Northern America","Americas","L100000700011","G100000700018","WEPP (S&P Global Platts): 29381, EIA: 286, World Resources Institute: USA0000286","WEPP (S&P Global Platts): 7523","https://gem.wiki/Big_Geysers_geothermal_plant"
"36","pre-construction","Philippines","Biliran geothermal power plant","--","50.0","unknown type","2025.0","","Biliran Geothermal INC [100%]","11.5993","124.4839","approximate","","Biliran","South-eastern Asia","Asia","L100000700227","G100000700410","","","https://gem.wiki/Biliran_geothermal_power_plant"
"37","cancelled","Iceland","Bitra geothermal power plant","--","135.0","unknown type","","Orkuveita Reykjavikur","Orkuveita Reykjavikur [100%]","63.8576","-21.3844","approximate","Ölfus","Southern Region","Northern Europe","Europe","L100000700012","G100000700019","WEPP (S&P Global Platts): 1071435","WEPP (S&P Global Platts): 1207496, WEPP (S&P Global Platts): 1207497","https://gem.wiki/Bitra_geothermal_power_plant"
"38","cancelled","Iceland","Bjarnarflag geothermal power plant","1","45.0","unknown type","","Landsvirkjun","Landsvirkjun [100%]","65.6432","-16.8462","exact","Northeastern Region","","Northern Europe","Europe","L100000700013","G100000700020","WEPP (S&P Global Platts): 1101887","WEPP (S&P Global Platts): 1218484","https://gem.wiki/Bjarnarflag_geothermal_power_plant"
"39","cancelled","Iceland","Bjarnarflag geothermal power plant","2","45.0","unknown type","","Landsvirkjun","Landsvirkjun [100%]","65.6432","-16.8462","exact","Northeastern Region","","Northern Europe","Europe","L100000700013","G100000700021","WEPP (S&P Global Platts): 1101887","WEPP (S&P Global Platts): 1235050","https://gem.wiki/Bjarnarflag_geothermal_power_plant"
"40","pre-construction","United States","Black Rock geothermal power plant","--","77.0","unknown type","","","Black Rock Geothermal LLC","33.1493115","-115.6278498","approximate","","California","Northern America","Americas","L100001004552","G100001005340","","","https://www.gem.wiki/Black_Rock_geothermal_power_plant"
"41","construction","Indonesia","Blawan Ijen geothermal project","1","34.0","unknown type","2025.0","PT Medco Power Indonesia","PT Medco Power Indonesia [51%]; Ormat Technology INC [49%]","-7.9768","114.1883","approximate","Blawan Ijen","East Java","South-eastern Asia","Asia","L100000700014","G100000700022","WEPP (S&P Global Platts): 1101305","WEPP (S&P Global Platts): 1258589","https://gem.wiki/Blawan_Ijen_geothermal_project"
"42","pre-construction","Indonesia","Blawan Ijen geothermal project","2","55.0","unknown type","","PT Medco Power Indonesia","PT Medco Power Indonesia [51%]; Ormat Technology INC [49%]","-7.9735","114.1708","approximate","Blawan Ijen","East Java","South-eastern Asia","Asia","L100000700014","G100000700023","WEPP (S&P Global Platts): 1101305","WEPP (S&P Global Platts): 1258590","https://gem.wiki/Blawan_Ijen_geothermal_project"
"43","operating","United States","Blue Mountain geothermal plant","--","50.0","binary cycle","2010.0","","AltaRock Energy [100%]","40.9952","-118.142","exact","","Nevada","Northern America","Americas","L100000700015","G100000700024","WEPP (S&P Global Platts): 52767, EIA: 56982, World Resources Institute: USA0056982","WEPP (S&P Global Platts): 30642","https://gem.wiki/Blue_Mountain_geothermal_plant"
"44","operating","United States","Blundell 1 geothermal plant","--","31.0","flash steam - unknown","1984.0","PacifiCorp","PacifiCorp [100%]","38.4889","-112.8533","exact","","Utah","Northern America","Americas","L100000700016","G100000700025","EIA: 299, WEPP (S&P Global Platts): 29489, World Resources Institute: USA0000299","WEPP (S&P Global Platts): 45818","https://gem.wiki/Blundell_1_geothermal_plant"
"45","operating","United States","Blundell 2 geothermal plant","2","14.0","unknown type","2007.0","","PacifiCorp [100%]","38.4889","-112.8533","exact","","Utah","Northern America","Americas","L100000700256","G100000700468","EIA: 299","","https://gem.wiki/Blundell_2_geothermal_plant"
"46","cancelled","United States","Blundell 3 geothermal plant","--","30.0","unknown type","","PacifiCorp","PacifiCorp [100%]","38.4889","-112.8533","exact","","Utah","Northern America","Americas","L100000700017","G100000700026","EIA: 299","","https://gem.wiki/Blundell_3_geothermal_plant"
"47","construction","Costa Rica","Borinquen geothermal power project","1","55.0","unknown type","2027.0","Costa Rican Electricity Institute (ICE)","Costa Rican Electricity Institute (ICE) [100%]","10.6344","-85.4397","approximate","Liberia","Guanacaste","Latin America and the Caribbean","Americas","L100000700018","G100000700027","WEPP (S&P Global Platts): 1100088","WEPP (S&P Global Platts): 1256461","https://gem.wiki/Borinquen_geothermal_power_project"
"48","pre-construction","Costa Rica","Borinquen geothermal power project","2","55.0","unknown type","2027.0","Costa Rican Electricity Institute (ICE)","Costa Rican Electricity Institute (ICE) [100%]","10.6344","-85.4397","approximate","Liberia","Guanacaste","Latin America and the Caribbean","Americas","L100000700018","G100000700028","WEPP (S&P Global Platts): 1100088","WEPP (S&P Global Platts): 1256462","https://gem.wiki/Borinquen_geothermal_power_project"
"49","operating","United States","Bottle Rock Power geothermal plant","--","55.0","flash steam - single","1985.0","Bottle Rock Power LLC","Baseload Clean Energy Partners [100%]","38.8348","-122.7677","exact","","California","Northern America","Americas","L100000700019","G100000700029","EIA: 902, World Resources Institute: USA0000902, WEPP (S&P Global Platts): 15329","WEPP (S&P Global Platts): 2163","https://gem.wiki/Bottle_Rock_Power_geothermal_plant"
"50","operating","Guadeloupe","Bouillante geothermal power plant","1","5.0","flash steam - double","1986.0","","","16.1272","-61.7691","exact","","Guadeloupe","Latin America and the Caribbean","Americas","L100000700020","G100000700336","WEPP (S&P Global Platts): 1013987","","https://gem.wiki/Bouillante_geothermal_power_plant"
"51","operating","Guadeloupe","Bouillante geothermal power plant","2","10.0","flash steam - double","2003.0","","","16.1272","-61.7691","exact","","Guadeloupe","Latin America and the Caribbean","Americas","L100000700020","G100000700337","WEPP (S&P Global Platts): 1013987","","https://gem.wiki/Bouillante_geothermal_power_plant"
"52","pre-construction","Guadeloupe","Bouillante geothermal power plant","3","10.0","flash steam - double","2025.0","Ormat Technology INC","Ormat Technology INC [100%]","16.1274","-61.769","exact","","Guadeloupe","Latin America and the Caribbean","Americas","L100000700020","G100000700030","WEPP (S&P Global Platts): 1013987","WEPP (S&P Global Platts): 1274016","https://gem.wiki/Bouillante_geothermal_power_plant"
"53","operating","United States","Brady geothermal power plant","OEC","6.0","flash steam - double","2002.0","","Ormat Technology INC [100%]","39.796","-119.0101","exact","","Nevada","Northern America","Americas","L100000700257","G100000700469","EIA: 55991","","https://gem.wiki/Brady_geothermal_power_plant"
"54","operating","United States","Brady geothermal power plant","OEC1","15.0","flash steam - double","2018.0","","Ormat Technology INC [100%]","39.796","-119.0101","exact","","Nevada","Northern America","Americas","L100000700257","G100000700470","EIA: 55991","","https://gem.wiki/Brady_geothermal_power_plant"
"55","pre-construction","Uganda","Buranga geothermal power plant","--","100.0","unknown type","2025.0","Gids Consult LTD","Gids Consult Ltd [100%]","0.8332","30.1664","approximate","","Mongiro","Sub-Saharan Africa","Africa","L100000700021","G100000700031","","","https://gem.wiki/Buranga_geothermal_power_plant"
"56","pre-construction","Peru","Cabanaconde geothermal power plant","--","100.0","unknown type","2027.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","-15.622","-71.9798","approximate","Caylloma","Arequipa","Latin America and the Caribbean","Americas","L100000700022","G100000700032","WEPP (S&P Global Platts): 1122617","WEPP (S&P Global Platts): 1290916","https://gem.wiki/Cabanaconde_geothermal_power_plant"
"57","pre-construction","Philippines","Cagua-Baua geothermal power plant","--","45.0","unknown type","","","Pan Pacific Power Phillippines CORP [100%]","18.3822","122.1445","approximate","","Cagayan","South-eastern Asia","Asia","L100000700228","G100000700411","","","https://gem.wiki/Cagua-Baua_geothermal_power_plant"
"58","operating","United States","Calistoga geothermal plant","1","88.0","dry steam","1984.0","Geysers Power Co LLC","Geysers Power Co LLC [100%]","38.7879","-122.7434","exact","","California","Northern America","Americas","L100000700023","G100000700034","EIA: 50066, World Resources Institute: USA0050066, WEPP (S&P Global Platts): 68627, WEPP (S&P Global Platts): 32100","WEPP (S&P Global Platts): 45353, WEPP (S&P Global Platts): 45434","https://gem.wiki/Calistoga_geothermal_plant"
"59","operating","United States","Calistoga geothermal plant","2","88.0","dry steam","1984.0","Geysers Power Co LLC","Geysers Power Co LLC [100%]","38.7894","-122.7455","exact","","California","Northern America","Americas","L100000700023","G100000700033","EIA: 50066, World Resources Institute: USA0050066, WEPP (S&P Global Platts): 68627, WEPP (S&P Global Platts): 32100","WEPP (S&P Global Platts): 18856, WEPP (S&P Global Platts): 18855","https://gem.wiki/Calistoga_geothermal_plant"
"60","construction","United States","Cape Station geothermal power plant","1","100.0","EGS","2026.0","Fervo Energy","Fervo Energy","38.4693866","-112.9276109","approximate","","Utah","Northern America","Americas","L100001004553","G100001005341","","","https://www.gem.wiki/Cape_Station_geothermal_power_plant"
"61","pre-construction","United States","Cape Station geothermal power plant","future units","300.0","EGS","2028.0","Fervo Energy","Fervo Energy","38.4693866","-112.9276109","approximate","","Utah","Northern America","Americas","L100001004553","G100001005342","","","https://www.gem.wiki/Cape_Station_geothermal_power_plant"
"62","operating","United States","Casa Diablo 4 geothermal power plant","--","30.0","binary cycle","2022.0","Ormat Technology INC","Ormat Technology INC [100%]","37.6449","-118.9149","exact","","California","Northern America","Americas","L100000700258","G100000700471","EIA: 63490","","https://gem.wiki/Casa_Diablo_4_geothermal_power_plant"
"63","cancelled","Nicaragua","Casita - San Cristóbal geothermal power plant","--","35.0","unknown type","","Empresa Nicaragüense de Electricidad (ENEL)","Empresa Nicaragüense de Electricidad (ENEL) [50%]; Polaris Energy Nicaragua [50%]","12.7231","-87.0836","approximate","San Cristóbal","Chinadega","Latin America and the Caribbean","Americas","L100000700024","G100000700035","WEPP (S&P Global Platts): 1082175","WEPP (S&P Global Platts): 1226263","https://gem.wiki/Casita_-_San_Cristóbal_geothermal_power_plant"
"64","operating","United States","CE Leathers geothermal plant","1","46.0","flash steam - double","1989.0","CalEnergy Operating CORP","CalEnergy Operating CORP [100%]","33.1779","-115.565","exact","","California","Northern America","Americas","L100000700025","G100000700036","EIA: 10631, World Resources Institute: USA0010631, WEPP (S&P Global Platts): 15304","WEPP (S&P Global Platts): 11728","https://gem.wiki/CE_Leathers_geothermal_plant"
"65","operating","Türkiye","Celikler Sultanhisar 2 geothermal power plant","--","23.0","binary cycle","2018.0","","Celikler Holding [100%]","37.8962","28.1731","exact","","Aydın","Western Asia","Asia","L100000700244","G100000700434","","","https://gem.wiki/Celikler_Sultanhisar_2_geothermal_power_plant"
"66","operating","Chile","Cerro Pabellón geothermal power plant","1","24.0","binary cycle","2017.0","Geotérmica Del Norte (GDN)","Empresa Nacional del Petróleo [50%]; Enel Chile [50%]","-21.8576","-68.1515","exact","","Antofagasta Region","Latin America and the Caribbean","Americas","L100000700026","G100000700326","WEPP (S&P Global Platts): 1074904","","https://gem.wiki/Cerro_Pabellón_geothermal_power_plant"
"67","operating","Chile","Cerro Pabellón geothermal power plant","2","24.0","binary cycle","2017.0","Geotérmica Del Norte (GDN)","Empresa Nacional del Petróleo [50%]; Enel Chile [50%]","-21.8576","-68.1515","exact","","Antofagasta Region","Latin America and the Caribbean","Americas","L100000700026","G100000700327","WEPP (S&P Global Platts): 1074904","","https://gem.wiki/Cerro_Pabellón_geothermal_power_plant"
"68","operating","Chile","Cerro Pabellón geothermal power plant","3","33.0","binary cycle","2021.0","Geotérmica Del Norte (GDN)","Empresa Nacional del Petróleo [50%]; Enel Chile [50%]","-21.8576","-68.1515","exact","","Antofagasta Region","Latin America and the Caribbean","Americas","L100000700026","G100000700037","WEPP (S&P Global Platts): 1074904","WEPP (S&P Global Platts): 1293800","https://gem.wiki/Cerro_Pabellón_geothermal_power_plant"
"69","retired","Mexico","Cerro Prieto 1 geothermal power plant","1","38.0","flash steam - single","1973.0","Comision Federal De Electricidad","Comision Federal De Electricidad [100%]","32.3985","-115.2379","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700027","G100000700038","World Resources Institute: MEX0006611, WEPP (S&P Global Platts): 1013029","WEPP (S&P Global Platts): 1109036","https://gem.wiki/Cerro_Prieto_1_geothermal_power_plant"
"70","retired","Mexico","Cerro Prieto 1 geothermal power plant","2","38.0","flash steam - single","1973.0","Comision Federal De Electricidad","Comision Federal De Electricidad [100%]","32.3985","-115.2379","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700027","G100000700039","World Resources Institute: MEX0006611, WEPP (S&P Global Platts): 1013029","WEPP (S&P Global Platts): 1109036","https://gem.wiki/Cerro_Prieto_1_geothermal_power_plant"
"71","retired","Mexico","Cerro Prieto 1 geothermal power plant","3","38.0","flash steam - single","1979.0","Comision Federal De Electricidad","Comision Federal De Electricidad [100%]","32.3985","-115.2379","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700027","G100000700040","World Resources Institute: MEX0006611, WEPP (S&P Global Platts): 1013029","WEPP (S&P Global Platts): 1109036","https://gem.wiki/Cerro_Prieto_1_geothermal_power_plant"
"72","retired","Mexico","Cerro Prieto 1 geothermal power plant","4","38.0","flash steam - single","1979.0","Comision Federal De Electricidad","Comision Federal De Electricidad [100%]","32.3985","-115.2379","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700027","G100000700041","World Resources Institute: MEX0006611, WEPP (S&P Global Platts): 1013029","WEPP (S&P Global Platts): 1109036","https://gem.wiki/Cerro_Prieto_1_geothermal_power_plant"
"73","operating","Mexico","Cerro Prieto 1 geothermal power plant","5","30.0","flash steam - single","1982.0","Comision Federal De Electricidad","Comision Federal De Electricidad [100%]","32.3985","-115.2379","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700027","G100000700042","World Resources Institute: MEX0006611, WEPP (S&P Global Platts): 1013029","WEPP (S&P Global Platts): 1109036","https://gem.wiki/Cerro_Prieto_1_geothermal_power_plant"
"74","operating","Mexico","Cerro Prieto 2 geothermal power plant","6","110.0","flash steam - double","1986.0","Comision Federal De Electricidad","Comision Federal De Electricidad [100%]","32.4047","-115.2113","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700028","G100000700043","World Resources Institute: MEX0001868, WEPP (S&P Global Platts): 1013029","WEPP (S&P Global Platts): 1109040, WEPP (S&P Global Platts): 1109038","https://gem.wiki/Cerro_Prieto_2_geothermal_power_plant"
"75","operating","Mexico","Cerro Prieto 2 geothermal power plant","7","110.0","flash steam - double","1987.0","Comision Federal De Electricidad","Comision Federal De Electricidad [100%]","32.4047","-115.2113","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700028","G100000700044","World Resources Institute: MEX0001868, WEPP (S&P Global Platts): 1013029","WEPP (S&P Global Platts): 1109040, WEPP (S&P Global Platts): 1109038","https://gem.wiki/Cerro_Prieto_2_geothermal_power_plant"
"76","operating","Mexico","Cerro Prieto 3 geothermal power plant","8","110.0","flash steam - double","1986.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.4126","-115.2433","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700029","G100000700045","World Resources Institute: MEX0001868, WEPP (S&P Global Platts): 1013029","","https://gem.wiki/Cerro_Prieto_3_geothermal_power_plant"
"77","operating","Mexico","Cerro Prieto 3 geothermal power plant","9","110.0","flash steam - double","1987.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.4126","-115.2433","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700029","G100000700046","World Resources Institute: MEX0001868, WEPP (S&P Global Platts): 1013029","","https://gem.wiki/Cerro_Prieto_3_geothermal_power_plant"
